block	start	end
1	chr2L	58763	88898
2	chr2L	135810	142088
3	chr2L	307752	395161
4	chr2L	432613	435157
5	chr2L	611698	803033
6	chr2L	914062	992190
7	chr2L	1017448	1043234
8	chr2L	1054276	1075239
9	chr2L	1121910	1127921
10	chr2L	1190281	1486291
11	chr2L	1512130	1602233
12	chr2L	1721583	1723893
13	chr2L	1734238	1749901
14	chr2L	1754040	1882274
15	chr2L	1885827	1908149
16	chr2L	1914950	1932695
17	chr2L	1938575	1963145
18	chr2L	1987641	2031644
19	chr2L	2050722	2129384
20	chr2L	2161113	2170470
21	chr2L	2241819	2350835
22	chr2L	2391901	2417264
23	chr2L	2421901	2485140
24	chr2L	2500751	2563541
25	chr2L	2592025	2703356
26	chr2L	2729141	2733248
27	chr2L	2787015	2855344
28	chr2L	3008673	3012507
29	chr2L	3044092	3046665
30	chr2L	3110094	3115652
31	chr2L	3174436	3301089
32	chr2L	3322997	3344037
33	chr2L	3390338	3421261
34	chr2L	3491426	3501449
35	chr2L	3545742	3604767
36	chr2L	3627807	3631541
37	chr2L	3676656	3681377
38	chr2L	3691432	3706977
39	chr2L	3720048	3725587
40	chr2L	3752126	3779755
41	chr2L	3788575	3800317
42	chr2L	3839702	3851793
43	chr2L	3893696	4013520
44	chr2L	4031401	4172236
45	chr2L	4205128	4220480
46	chr2L	4235086	4322541
47	chr2L	4346447	4372132
48	chr2L	4477225	4660060
49	chr2L	4675613	4783469
50	chr2L	5110147	5268515
51	chr2L	5334866	5360745
52	chr2L	5373195	5399986
53	chr2L	5407797	5457696
54	chr2L	5468737	5509602
55	chr2L	5553004	5712263
56	chr2L	5731890	5759340
57	chr2L	5764402	5768068
58	chr2L	5772431	5786798
59	chr2L	5808231	5903533
60	chr2L	6169430	6304310
61	chr2L	6700451	6709729
62	chr2L	6743174	6767619
63	chr2L	7079260	7158756
64	chr2L	7230914	7234237
65	chr2L	7267823	7276615
66	chr2L	7294546	7302451
67	chr2L	7311610	7380989
68	chr2L	7439072	7441620
69	chr2L	7455644	7481512
70	chr2L	7552318	7639451
71	chr2L	7656330	7764656
72	chr2L	7844673	7877894
73	chr2L	7919733	7924836
74	chr2L	8344219	8348097
75	chr2L	8554437	8671710
76	chr2L	8693246	8700732
77	chr2L	8732049	8734653
78	chr2L	8748815	8822945
79	chr2L	8829762	8942516
80	chr2L	8953001	8990863
81	chr2L	9011428	9116356
82	chr2L	9132545	9157085
83	chr2L	9272522	9385095
84	chr2L	9403542	9429773
85	chr2L	9455214	9463750
86	chr2L	9497970	9562439
87	chr2L	9578589	9610651
88	chr2L	9620122	9673704
89	chr2L	9712497	9734487
90	chr2L	9746622	9750694
91	chr2L	9776925	9782190
92	chr2L	9794991	9863966
93	chr2L	9943095	9950008
94	chr2L	10012534	10050747
95	chr2L	10060810	10191201
96	chr2L	10454436	10470064
97	chr2L	10524818	10534275
98	chr2L	10549176	10665519
99	chr2L	10675579	10711063
100	chr2L	10778060	10826002
101	chr2L	10871258	10943530
102	chr2L	11031133	11032755
103	chr2L	11060952	11064131
104	chr2L	11155841	11165704
105	chr2L	11183155	11208449
106	chr2L	11227916	11239053
107	chr2L	11305687	11350471
108	chr2L	11364326	11436745
109	chr2L	11458147	11466203
110	chr2L	11527488	11791376
111	chr2L	11839893	11982566
112	chr2L	12026410	12031309
113	chr2L	12115223	12131391
114	chr2L	12136856	12170744
115	chr2L	12175210	12203930
116	chr2L	12262577	12408475
117	chr2L	12568386	12582177
118	chr2L	12595032	12652059
119	chr2L	12661856	12683689
120	chr2L	12730471	12808036
121	chr2L	12822610	12969916
122	chr2L	13066377	13143160
123	chr2L	13234182	13244739
124	chr2L	13252819	13255026
125	chr2L	13259046	13276921
126	chr2L	13337140	13362644
127	chr2L	13422399	13438685
128	chr2L	13462320	13494036
129	chr2L	13515880	13531858
130	chr2L	13595452	13602065
131	chr2L	13667348	13765782
132	chr2L	13802433	13808030
133	chr2L	13841772	13891709
134	chr2L	13909810	14152992
135	chr2L	14161216	14344852
136	chr2L	14369312	14391041
137	chr2L	14414899	14487090
138	chr2L	14495026	14585771
139	chr2L	14589788	14686663
140	chr2L	14714298	14968913
141	chr2L	14976139	14992980
142	chr2L	15025648	15031750
143	chr2L	15076579	15107389
144	chr2L	15129537	15248356
145	chr2L	15281560	15491703
146	chr2L	15513702	15652508
147	chr2L	15786097	15906328
148	chr2L	15916227	16238099
149	chr2L	16318413	16320545
150	chr2L	16336865	16344008
151	chr2L	16382925	16417441
152	chr2L	16440213	16481003
153	chr2L	16606034	16609078
154	chr2L	16750925	16797847
155	chr2L	16816933	16826240
156	chr2L	16928659	17358952
157	chr2L	17435366	17447979
158	chr2L	17508096	18107637
159	chr2L	18128221	18132237
160	chr2L	18168480	18434264
161	chr2L	18467230	18541119
162	chr2L	18724078	18763799
163	chr2L	18765577	18771542
164	chr2L	18869109	18880561
165	chr2L	18889573	18926760
166	chr2L	19193144	19344388
167	chr2L	19380478	19390527
168	chr2L	19435981	19441147
169	chr2L	19466465	19473879
170	chr2L	19603108	19732214
171	chr2L	19826412	19880578
172	chr2L	19890330	19942422
173	chr2L	19963127	20052633
174	chr2L	20256745	20261361
175	chr2L	20316597	20338835
176	chr2L	20362855	20379876
177	chr2L	20466916	20640469
178	chr2L	20668325	20674182
179	chr2L	20691022	20716387
180	chr2L	20813314	20887817
181	chr2L	20928244	21094391
182	chr2L	21110506	21135159
183	chr2L	21188267	21213606
184	chr2L	21266222	21307353
185	chr2L	21321581	21394495
186	chr2L	21579022	21616502
187	chr2L	21708268	21741881
188	chr2L	21762841	21786484
189	chr2L	21795251	21824482
190	chr2L	21834116	21893633
191	chr2L	21903603	22017155
192	chr2L	22036104	22082919
193	chr2L	22090155	22111439
194	chr2R	1364412	1367856
195	chr2R	1664073	1852610
196	chr2R	1883262	1894637
197	chr2R	1932151	1959071
198	chr2R	2061071	2093599
199	chr2R	2110459	2115330
200	chr2R	2181651	2376361
201	chr2R	2390468	2497406
